AS,AB,DMA,MMA
372,372,372,372
0.63006,0.07952,0.76541,0.12724
2.92451,0.18974,1.66667,0.35429
4.04601,0.31111,2.24111,0.52893
6.85071,0.95736,3.35558,0.81718
14.53337,5.28967,5.78939,1.27337
24.97524,14.44578,8.66149,1.93939
53.76043,35.83695,10.18073,2.97276
180.67184,149.09646,28.20206,5.0447
345.45455,347.10744,64,6
16.09733,7.81563,4.78939,1.07814
8.31004,1.31012,3.6408,0.83527
